,nW,n,utm48_x,utm48_y,x,y,z,lat,lon,zabs
249,249,249,397455.1469939258,5938036.769215421,-418.321,137.52,-1.731,53.58114473411707,103.45106398730873,468.269
250,250,250,397455.0349939258,5938036.974215421,-418.433,137.725,-2.217,53.58114655419802,103.45106222888055,467.783
251,251,251,397451.6579939258,5938039.573215421,-421.81,140.324,-3.961,53.58116924662608,103.45101038598942,466.039
252,252,252,397453.2659939258,5938036.479215422,-420.202,137.23,-1.692,53.581141760623446,103.45103568156601,468.308
253,253,253,397450.9969939258,5938037.551215421,-422.471,138.302,-1.702,53.58115094918659,103.45100106995999,468.298
254,254,254,397451.27499392576,5938037.745215422,-422.193,138.496,-2.588,53.58115274668273,103.45100520371328,467.412
255,255,255,397449.2629939258,5938040.677215422,-424.205,141.428,-1.784,53.581178698073664,103.4509738613791,468.216
256,256,256,397446.01399392576,5938040.468215421,-427.454,141.219,-1.74,53.581176184877435,103.4509248737027,468.26
257,257,257,397441.6109939258,5938042.602215421,-431.857,143.353,-1.775,53.58119449847414,103.45085769201147,468.225
258,258,258,397436.3429939258,5938041.861215421,-437.125,142.612,-1.65,53.58118681025698,103.45077839444279,468.35
259,259,259,397429.0869939258,5938043.168215421,-444.381,143.919,-1.725,53.581197135020226,103.45066840724675,468.275
260,260,260,397423.5759939258,5938044.210215421,-449.892,144.961,-2.128,53.581205419871104,103.4505848546968,467.872
261,261,261,397416.89399392577,5938045.394215421,-456.574,146.145,-2.62,53.581214751537054,103.45048357461337,467.38
262,262,262,397410.3099939258,5938046.075215422,-463.158,146.826,-2.916,53.58121958270067,103.45038393951238,467.084
263,263,263,397408.86199392576,5938043.072215421,-464.606,143.823,-2.751,53.58119231673572,103.4503630633504,467.249
264,264,264,397408.13899392576,5938038.370215422,-465.329,139.121,-2.634,53.58114992662662,103.45035369237077,467.366
265,265,265,397409.2349939258,5938035.367215421,-464.233,136.118,-2.498,53.58112315827592,103.45037122781989,467.502
266,266,266,397411.2759939258,5938031.602215421,-462.192,132.353,-2.361,53.58108972799647,103.45040328214014,467.639
267,267,267,397410.1099939258,5938031.961215422,-463.358,132.712,-3.324,53.58109272563525,103.45038555885696,466.676
268,268,268,397407.79099392577,5938033.305215421,-465.677,134.056,-4.502,53.5811043482198,103.45035010280482,465.498
269,269,269,397404.2499939258,5938034.5972154215,-469.218,135.348,-5.781,53.58111526452358,103.45029621299473,464.219
270,270,270,397408.0449939258,5938031.135215421,-465.423,131.886,-2.456,53.581084899891586,103.45035465118802,467.544
271,271,271,397405.1249939258,5938031.752215421,-468.343,132.503,-2.586,53.58108987262238,103.45031035967956,467.414
272,272,272,397403.8229939258,5938030.299215421,-469.645,131.05,-2.596,53.58107656235526,103.45029117856336,467.404
273,273,273,397405.0419939258,5938028.334215421,-468.426,129.085,-2.419,53.58105914477219,103.45031022998506,467.581
274,274,274,397404.7519939258,5938026.539215421,-468.716,127.29,-2.341,53.581042959505595,103.45030644134101,467.659
275,275,275,397404.0859939258,5938024.512215422,-469.382,125.263,-2.085,53.5810246161089,103.4502970517927,467.915
276,276,276,397404.7189939258,5938023.201215421,-468.749,123.952,-2.235,53.58101296025644,103.45030704029465,467.765
277,277,277,397403.2169939258,5938019.500215421,-470.251,120.251,-2.167,53.58097941200447,103.45028557838309,467.833
278,278,278,397401.5489939258,5938018.954215421,-471.919,119.705,-2.197,53.58097417976781,103.45026057301041,467.803
279,279,279,397399.4879939258,5938021.1482154215,-473.98,121.899,-2.156,53.58099349025588,103.45022873311106,467.844
280,280,280,397398.6079939258,5938024.702215421,-474.86,125.453,-2.302,53.58102525171783,103.45021427785127,467.698
281,281,281,397397.7389939258,5938027.458215421,-475.729,128.209,-2.194,53.58104984509344,103.45020025098128,467.806
282,282,282,397397.3419939258,5938031.633215421,-476.126,132.384,-2.532,53.58108728088391,103.45019288429204,467.468
283,283,283,397399.3719939258,5938034.301215421,-474.096,135.052,-2.648,53.58111165066834,103.45022265796338,467.352
284,284,284,397399.3219939258,5938039.530215422,-474.146,140.281,-2.716,53.58115862480299,103.45022018412189,467.284
285,285,285,397400.0449939258,5938047.468215421,-473.423,148.219,-3.187,53.58123009121716,103.45022849122107,466.813
286,286,286,397393.3079939258,5938049.072215421,-480.16,149.823,-2.89,53.58124318562877,103.45012624249227,467.11
287,287,287,397385.8389939258,5938050.958215421,-487.629,151.709,-2.449,53.58125867058103,103.45001284857359,467.551
288,288,288,397377.0109939258,5938051.031215421,-496.457,151.782,-1.768,53.581257599247586,103.44987953123426,468.232
289,289,289,397368.7729939258,5938050.993215421,-504.695,151.744,-1.394,53.58125564585416,103.44975515877063,468.606
290,290,290,397359.1189939258,5938052.013215422,-514.349,152.764,-1.176,53.58126292162373,103.44960905831556,468.824
291,291,291,397348.6179939258,5938053.635215421,-524.85,154.386,-1.26,53.581275440564326,103.44944997102974,468.74
292,292,292,397343.7729939258,5938053.509215421,-529.695,154.26,-1.377,53.58127336013965,103.44937685815398,468.623
293,293,293,397341.0659939258,5938051.680215421,-532.402,152.431,-1.368,53.58125639626521,103.44933658693446,468.632
294,294,294,397337.8909939258,5938053.400215421,-535.577,154.151,-1.428,53.58127122943855,103.44928808210607,468.572
295,295,295,397337.1699939258,5938051.301215421,-536.298,152.052,-1.416,53.5812522282613,103.44927788619366,468.584
296,296,296,397336.8359939258,5938051.463215421,-536.632,152.214,-2.748,53.58125361849487,103.44927278986785,467.252
297,297,297,397337.7209939258,5938053.882215422,-535.747,154.633,-2.444,53.58127552705526,103.4492853567469,467.556
298,298,298,397334.8059939258,5938055.799215421,-538.662,156.55,-3.899,53.58129218119649,103.44924071280201,466.101
299,299,299,397334.3219939258,5938051.511215421,-539.146,152.262,-1.383,53.58125355768653,103.4492348153902,468.617
300,300,300,397334.5379939258,5938051.664215421,-538.93,152.415,-2.424,53.58125497471156,103.44923802643038,467.576
301,301,301,397330.6339939258,5938055.459215421,-542.834,156.21,-1.415,53.5812883095422,103.44917783188751,468.585
302,302,302,397331.22599392576,5938055.499215421,-542.242,156.25,-2.652,53.58128878483822,103.44918675729835,467.348
303,303,303,397324.4799939258,5938055.953215421,-548.988,156.704,-1.368,53.58129154355283,103.44908475054478,468.632
304,304,304,397314.9199939258,5938055.948215421,-558.548,156.699,-1.131,53.58128962702156,103.44894040638931,468.869
305,305,305,397302.2769939258,5938056.487215421,-571.191,157.238,-1.079,53.581291994626895,103.44874933325184,468.921
306,306,306,397294.1599939258,5938056.034215421,-579.308,156.785,-0.953,53.581286334873326,103.44862692429489,469.047
307,307,307,397287.5559939258,5938056.2222154215,-585.912,156.973,-0.881,53.581286730842294,103.44852714910482,469.119
308,308,308,397278.3439939258,5938055.725215421,-595.124,156.476,-0.674,53.58128046105237,103.44838822135516,469.326
309,309,309,397271.7929939258,5938056.4382154215,-601.675,157.189,-0.781,53.58128558445938,103.44828907362758,469.219
310,310,310,397263.9489939258,5938056.412215421,-609.519,157.163,-0.993,53.581283814412394,103.44817064621456,469.007
311,311,311,397257.4069939258,5938057.340215421,-616.061,158.091,-1.21,53.58129087123038,103.44807156357271,468.79
312,312,312,397247.63299392577,5938057.343215421,-625.835,158.094,-1.776,53.58128898343368,103.4479239856862,468.224
313,313,313,397237.7329939258,5938056.9212154215,-635.735,157.672,-2.1,53.58128325203747,103.44777464528113,467.9
314,314,314,397240.6979939258,5938053.922215422,-632.77,154.673,-1.946,53.581256886205416,103.44782040095964,468.054
315,315,315,397241.3709939258,5938051.379215421,-632.097,152.13,-1.879,53.581234168576835,103.44783139976512,468.121
316,316,316,397241.1029939258,5938048.4152154215,-632.365,149.166,-1.824,53.58120748379415,103.4478283291038,468.176
317,317,317,397239.8769939258,5938045.785215422,-633.591,146.536,-1.648,53.58118361238793,103.4478106837491,468.352
318,318,318,397239.71999392577,5938046.062215421,-633.748,146.813,-2.348,53.58118607054123,103.4478082220255,467.652
319,319,319,397238.5109939258,5938044.686215421,-634.957,145.437,-1.607,53.58117346996381,103.44779042050517,468.393
320,320,320,397238.3319939258,5938044.973215422,-635.136,145.724,-2.265,53.58117601365871,103.44778762331316,467.735
